Date,Open,High,Low,Close,Volume,VWAP
,TCS.BO,TCS.BO,TCS.BO,TCS.BO,TCS.BO,
2004-08-25,134.5,135.0,122.375,123.4375,52290472,123.4375
2004-08-26,124.0875015258789,124.5875015258789,121.9124984741211,122.3187484741211,17944128,123.15167192408633
2004-08-27,122.8062515258789,122.8062515258789,119.8187484741211,120.29374694824219,12026536,122.73384475467684
2004-08-30,120.9625015258789,123.71875,120.625,123.28125,8998552,122.787820991864
2004-08-31,123.625,123.75,122.0,123.4937515258789,9080528,122.85170586510542
2004-09-01,123.5625,124.36250305175781,122.9375,123.4749984741211,7890560,122.89714698555895
2004-09-02,123.5,125.60624694824219,123.5,124.1812515258789,8403160,122.98966324865611
2004-09-03,124.5,125.03125,123.71875,124.7437515258789,4210528,123.05078013859259
2004-09-06,124.75,125.60624694824219,124.14375305175781,124.375,3214624,123.08509337606985
2004-09-07,124.625,125.0,124.2874984741211,124.41874694824219,2109160,123.10738811989701
2004-09-08,124.75,125.0,123.90625,124.1875,2063624,123.1247702633821
2004-09-09,124.125,124.75,122.28125,122.5,3299528,123.10909760287977
2004-09-10,122.53125,123.75,122.375,123.59375,2399992,123.11778236198292
2004-09-13,123.92500305175781,126.95625305175781,123.875,125.5062484741211,7425632,123.24325097961037
2004-09-14,127.0,127.3499984741211,125.4437484741211,126.9312515258789,6454456,123.40429420341047
2004-09-15,127.125,127.48750305175781,125.125,125.7125015258789,4345552,123.47021580305477
2004-09-16,126.0,126.875,125.375,126.01249694824219,3460584,123.5267503887956
2004-09-17,126.75,128.6875,126.375,128.0124969482422,5742528,123.6863903381658
2004-09-20,129.00625610351562,129.75,127.5,127.85624694824219,4083632,123.78931448738443
2004-09-21,128.125,131.125,127.875,130.6999969482422,5884048,124.02665356263263
2004-09-22,131.25,132.0,129.65625,131.49374389648438,7190504,124.32741899952336
2004-09-23,130.5812530517578,131.0,128.375,128.68124389648438,6421576,124.47859468882471
2004-09-24,128.875,130.0,128.25625610351562,128.61874389648438,3121256,124.54730885370226
2004-09-27,128.75,129.03125,126.875,127.5,3451248,124.60051934549075
2004-09-28,128.0,128.47500610351562,126.51875305175781,126.89375305175781,3153232,124.63766559228644
2004-09-29,127.9749984741211,129.0812530517578,127.13749694824219,128.78125,3906152,124.71917500688325
2004-09-30,129.0437469482422,130.08749389648438,128.0,128.3874969482422,4301016,124.79694546571642
2004-10-01,128.72500610351562,132.05624389648438,128.375,131.03125,3935576,124.91558465638781
2004-10-04,131.875,135.125,131.625,134.60000610351562,4923880,125.14079799031354
2004-10-05,135.0,136.1374969482422,134.4499969482422,135.02499389648438,6082408,125.41681113351109
2004-10-06,135.0,137.875,134.40625,135.1437530517578,6531248,125.6999857504137
2004-10-07,135.625,137.4375,135.5,137.09375,3649720,125.8823754191679
2004-10-08,136.83749389648438,138.75,136.625,137.22500610351562,3654648,126.06132327588409
2004-10-11,138.25,149.75,135.71249389648438,136.1750030517578,4682816,126.26172051466169
2004-10-12,138.125,142.5,134.8000030517578,135.63125610351562,6870840,126.52642255380839
2004-10-13,135.63125610351562,135.63125610351562,135.63125610351562,135.63125610351562,0,126.52642255380839
2004-10-14,137.25,140.49374389648438,136.125,139.5749969482422,7189280,126.90107268780089
2004-10-15,140.25,142.59375,139.625,140.7624969482422,7321744,127.29487907280814
2004-10-18,141.5,142.7375030517578,140.75,142.21249389648438,5578448,127.61094143335691
2004-10-19,142.5124969482422,143.5,141.78125,142.55624389648438,3409984,127.80202726981203
2004-10-20,143.125,143.6125030517578,140.8874969482422,141.3874969482422,2659008,127.93613608190249
2004-10-21,141.875,142.3000030517578,140.25,140.66250610351562,2150976,128.03695658688213
2004-10-22,140.66250610351562,140.66250610351562,140.66250610351562,140.66250610351562,0,128.03695658688213
2004-10-25,140.64999389648438,140.7375030517578,138.875,139.5437469482422,2780984,128.15362030156072
2004-10-26,139.5437469482422,142.5,139.5,142.02499389648438,2936112,128.30053021734102
2004-10-27,142.5,143.5,141.875,142.5,2854880,128.44526388815166
2004-10-28,143.5,146.875,142.875,145.8312530517578,6648960,128.84842018457704
2004-10-29,147.375,147.375,143.5,144.2937469482422,2409008,128.97710347806216
2004-11-01,144.7937469482422,146.65625,142.75,146.19375610351562,1910072,129.09008977581234
2004-11-02,147.0,147.49374389648438,144.27499389648438,144.8312530517578,2774936,129.23875045725288
2004-11-03,144.375,148.0500030517578,144.375,147.11874389648438,3112864,129.42618819878965
2004-11-04,148.125,148.5,146.1875,146.46875,1876712,129.53322321562985
