Date,Open,High,Low,Close,Volume,VWAP
,ICICIBANK.BO,ICICIBANK.BO,ICICIBANK.BO,ICICIBANK.BO,ICICIBANK.BO,
2002-04-29,20.363636016845703,20.363636016845703,20.363636016845703,20.363636016845703,534143,20.363636016845703
2002-04-30,20.463634490966797,20.463634490966797,20.463634490966797,20.463634490966797,152739,20.385872248016096
2002-05-01,20.463634490966797,20.463634490966797,20.463634490966797,20.463634490966797,0,20.385872248016096
2002-05-02,20.35454559326172,20.35454559326172,20.35454559326172,20.35454559326172,732357,20.369707039128834
2002-05-03,20.909090042114258,20.909090042114258,20.909090042114258,20.909090042114258,254467,20.451713780229536
2002-05-06,20.945453643798828,20.945453643798828,20.945453643798828,20.945453643798828,906350,20.625160064087726
2002-05-07,22.66363525390625,22.66363525390625,22.66363525390625,22.66363525390625,914468,21.15860047825657
2002-05-08,23.672725677490234,23.672725677490234,23.672725677490234,23.672725677490234,1550774,21.931367516341613
2002-05-09,24.436363220214844,24.436363220214844,24.436363220214844,24.436363220214844,1438810,22.487220822407743
2002-05-10,24.872726440429688,24.872726440429688,24.872726440429688,24.872726440429688,4277024,23.435342709623203
2002-05-13,25.281816482543945,25.281816482543945,25.281816482543945,25.281816482543945,2026287,23.72793387300889
2002-05-14,26.118181228637695,26.118181228637695,26.118181228637695,26.118181228637695,3283389,24.216279690764335
2002-05-15,26.209089279174805,26.209089279174805,26.209089279174805,26.209089279174805,2509820,24.485462915420914
2002-05-16,25.636362075805664,25.636362075805664,25.636362075805664,25.636362075805664,1216758,24.556197797318525
2002-05-17,25.572725296020508,25.572725296020508,25.572725296020508,25.572725296020508,1464654,24.62622217254705
2002-05-20,25.27272605895996,25.27272605895996,25.27272605895996,25.27272605895996,741405,24.64800608928854
2002-05-21,25.190908432006836,25.190908432006836,25.190908432006836,25.190908432006836,566406,24.661630598565527
2002-05-22,24.409090042114258,24.409090042114258,24.409090042114258,24.409090042114258,224206,24.659146569153837
2002-05-23,23.636362075805664,23.636362075805664,23.636362075805664,23.636362075805664,793677,24.624732049796993
2002-05-24,24.19999885559082,24.19999885559082,24.19999885559082,24.19999885559082,132829,24.622353654079607
2002-05-27,23.718181610107422,23.718181610107422,23.718181610107422,23.718181610107422,36128,24.62097863398086
2002-05-28,23.55454444885254,23.55454444885254,23.55454444885254,23.55454444885254,84556,24.61719639016796
2002-05-29,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,31926,24.615568612237837
2002-05-30,23.581817626953125,23.581817626953125,23.581817626953125,23.581817626953125,23005,24.614573413699542
2002-05-31,25.35454559326172,25.35454559326172,25.35454559326172,25.35454559326172,451983,24.62830976305402
2002-06-03,24.69999885559082,24.69999885559082,24.69999885559082,24.69999885559082,552749,24.629901113499066
2002-06-04,24.42727279663086,24.42727279663086,24.42727279663086,24.42727279663086,125074,24.628888424683154
2002-06-05,26.01818084716797,26.01818084716797,26.01818084716797,26.01818084716797,760066,24.669839013640686
2002-06-06,27.599998474121094,27.599998474121094,27.599998474121094,27.599998474121094,5761029,25.20493557920392
2002-06-07,27.409090042114258,27.409090042114258,27.409090042114258,27.409090042114258,651595,25.249540398248953
2002-06-10,28.01818084716797,28.01818084716797,28.01818084716797,28.01818084716797,727864,25.310743119036424
2002-06-11,29.418180465698242,29.418180465698242,29.418180465698242,29.418180465698242,1334948,25.47078332485387
2002-06-12,28.790908813476562,28.790908813476562,28.790908813476562,28.790908813476562,1428547,25.60367631787507
2002-06-13,27.51818084716797,27.51818084716797,27.51818084716797,27.51818084716797,1868030,25.698898265179835
2002-06-14,26.281816482543945,26.281816482543945,26.281816482543945,26.281816482543945,797483,25.711018216978676
2002-06-17,26.73636245727539,26.73636245727539,26.73636245727539,26.73636245727539,2297068,25.768955092658302
2002-06-18,26.727272033691406,26.727272033691406,26.727272033691406,26.727272033691406,1305880,25.79878092308387
2002-06-19,25.86363410949707,25.86363410949707,25.86363410949707,25.86363410949707,1026876,25.800330198585076
2002-06-20,26.472726821899414,26.472726821899414,26.472726821899414,26.472726821899414,339376,25.80559728720076
2002-06-21,25.436363220214844,25.436363220214844,25.436363220214844,25.436363220214844,1589477,25.792530400635883
2002-06-24,25.563634872436523,25.563634872436523,25.563634872436523,25.563634872436523,407736,25.790471157188666
2002-06-25,25.436363220214844,25.436363220214844,25.436363220214844,25.436363220214844,205061,25.788876198246395
2002-06-26,24.96363639831543,24.96363639831543,24.96363639831543,24.96363639831543,473967,25.780373414767993
2002-06-27,24.327272415161133,24.327272415161133,24.327272415161133,24.327272415161133,1318035,25.73989840292145
2002-06-28,24.9818172454834,24.9818172454834,24.9818172454834,24.9818172454834,1536001,25.716064345655607
2002-07-01,25.136362075805664,25.136362075805664,25.136362075805664,25.136362075805664,713311,25.7077221648228
2002-07-02,26.709089279174805,26.709089279174805,26.709089279174805,26.709089279174805,3057031,25.7658920285559
2002-07-03,28.027271270751953,28.027271270751953,28.027271270751953,28.027271270751953,2283989,25.859955515698804
2002-07-04,27.23636245727539,27.23636245727539,27.23636245727539,27.23636245727539,2068494,25.90992387358079
2002-07-05,27.545454025268555,27.545454025268555,27.545454025268555,27.545454025268555,1177719,25.943045293146962
2002-07-08,27.254545211791992,27.254545211791992,27.254545211791992,27.254545211791992,1003919,25.965301059311432
2002-07-09,27.12727165222168,27.12727165222168,27.12727165222168,27.12727165222168,898754,25.982689609463094
2002-07-10,26.990907669067383,26.990907669067383,26.990907669067383,26.990907669067383,359165,25.98868319093813
2002-07-11,26.799999237060547,26.799999237060547,26.799999237060547,26.799999237060547,282814,25.99246326850701
2002-07-12,26.73636245727539,26.73636245727539,26.73636245727539,26.73636245727539,294018,25.99604917698691
2002-07-15,26.390907287597656,26.390907287597656,26.390907287597656,26.390907287597656,87696,25.996616079099653
2002-07-16,26.10909080505371,26.10909080505371,26.10909080505371,26.10909080505371,919555,25.99828421159068
